transaction_id,transaction_date,unit_price,store_id,return_flag,quantity,product_id,payment_method,line_total,item_id,discount_pct,customer_id,channel,cashback_earned,amount
TXN000001,2024-01-19,154.12,STR010,0,1,PRD013,Mastercard,154.12,ITM0000001,0,CUST00001,In-Store,$3.51,109.34
TXN000002,2024-12-06,69.87,STR017,0,1,PRD012,Mastercard,69.87,ITM0000003,0,CUST00001,In-Store,$5.73,162.89
TXN000003,2023-10-18,328.21,STR013,0,1,PRD007,Mastercard,328.21,ITM0000004,0,CUST00001,Online,$6.53,357.2
TXN000004,2024-12-04,41.01,STR029,0,1,PRD011,Mastercard,41.01,ITM0000005,0,CUST00001,In-Store,$2.97,142.67
TXN000005,2024-02-11,82.02,STR006,0,1,PRD014,Mastercard,82.02,ITM0000006,0,CUST00001,In-Store,$9.42,501.61
TXN000006,2023-12-02,490.46,STR013,0,1,PRD019,Mastercard,382.56,ITM0000007,0.22,CUST00001,In-Store,$7.66,466.87
TXN000007,2022-06-27,78.53,STR017,0,1,PRD014,Mastercard,62.04,ITM0000008,0.21,CUST00001,Mobile App,$8.12,638.85
TXN000008,2022-12-14,53.26,STR027,0,2,PRD009,Mastercard,106.52,ITM0000009,0,CUST00001,In-Store,$15.55,542.23
TXN000009,2022-02-17,143.55,STR008,0,1,PRD018,Mastercard,143.55,ITM0000010,0,CUST00001,In-Store,$10.06,605.99
TXN000010,2024-12-22,33.69,STR001,0,1,PRD004,Mastercard,33.69,ITM0000011,0,CUST00001,Mobile App,$10.39,616.96
TXN000011,2023-12-10,242.76,STR028,0,1,PRD015,Mastercard,242.76,ITM0000012,0,CUST00001,Online,$15.81,542.59
TXN000012,2022-04-24,158.02,STR026,0,1,PRD016,Mastercard,158.02,ITM0000013,0,CUST00001,In-Store,$7.42,376.84
TXN000013,2023-12-16,163.16,STR011,0,1,PRD016,Mastercard,163.16,ITM0000014,0,CUST00001,In-Store,$13.60,342.8
TXN000014,2022-03-23,242.18,STR015,0,2,PRD015,Mastercard,484.36,ITM0000015,0,CUST00001,In-Store,$5.93,496.86
TXN000015,2022-04-29,516.62,STR017,0,1,PRD005,Mastercard,516.62,ITM0000016,0,CUST00002,Mobile App,$6.47,224.52
TXN000016,2022-12-10,227.64,STR017,0,1,PRD017,Mastercard,191.22,ITM0000017,0.16,CUST00002,In-Store,$8.38,375.46
TXN000017,2022-11-21,175.13,STR013,0,1,PRD016,Mastercard,175.13,ITM0000018,0,CUST00002,In-Store,$10.06,458
TXN000018,2024-11-21,330.99,STR011,0,2,PRD007,Mastercard,661.98,ITM0000019,0,CUST00002,Online,$14.56,425.54
TXN000019,2024-12-24,23.93,STR013,0,1,PRD020,Mastercard,23.93,ITM0000020,0,CUST00002,Online,$4.65,359.03
TXN000021,2022-03-17,443.89,STR019,0,2,PRD008,Mastercard,887.78,ITM0000022,0,CUST00002,In-Store,$0.99,68.72
TXN000023,2024-06-13,21.87,STR015,0,1,PRD020,Mastercard,21.87,ITM0000025,0,CUST00002,Mobile App,$8,410.56
TXN000024,2024-05-11,47.75,STR020,0,1,PRD009,Mastercard,38.2,ITM0000026,0.2,CUST00002,In-Store,$10.23,320.75
