transaction_id,customer_id,store_id,transaction_date,payment_method,amount,channel,return_flag,cashback_earned
TXN001550,CUST00188,STR006,2023-05-25,Debit,202.96,In-Store,0,0.0
TXN000191,CUST00019,STR004,2024-11-25,Mastercard,310.00,In-Store,1,8.68
TXN000048,CUST00005,STR030,2024-09-24,Mastercard,608.45,Online,0,14.15
TXN004548,CUST00569,STR026,2023-06-25,Mastercard,108.00,In-Store,0,3.0
TXN006081,CUST00761,STR005,2022-09-10,Debit,97.81,In-Store,0,0.0
TXN000682,CUST00078,STR003,2022-08-12,Visa,245.81,In-Store,0,0.0
TXN005223,CUST00654,STR013,2024-12-19,Mastercard,575.06,In-Store,0,12.52
TXN003534,CUST00433,STR025,2024-05-27,Mastercard,118.28,Mobile App,0,2.63
TXN001863,CUST00229,STR029,2022-06-04,Mastercard,426.69,In-Store,0,6.46
TXN001900,CUST00232,STR017,2024-12-15,Mastercard,489.43,In-Store,0,5.02
TXN001649,CUST00200,STR004,2022-02-22,Visa,359.66,In-Store,0,0.0
TXN002735,CUST00334,STR018,2024-12-08,Mastercard,544.53,Online,0,11.28
TXN001588,CUST00194,STR027,2024-02-24,Cash,120.27,Mobile App,0,0.0
TXN004923,CUST00614,STR028,2022-08-15,Mastercard,540.50,Mobile App,0,11.3
TXN005668,CUST00710,STR013,2022-08-29,Debit,24.57,Online,0,0.0
TXN005639,CUST00704,STR015,2022-05-15,Mastercard,298.72,Online,0,7.19
TXN005111,CUST00640,STR008,2024-09-14,Mastercard,327.24,Mobile App,0,11.48
TXN002390,CUST00289,STR026,2023-01-09,Mastercard,58.21,In-Store,1,2.31
TXN002273,CUST00276,STR026,2022-06-02,Mastercard,268.65,Mobile App,0,6.56
TXN001282,CUST00151,STR009,2023-02-23,Mastercard,348.05,Online,0,4.16
TXN004294,CUST00532,STR013,12-12-2024,Mastercard,75.08,In-Store,1,1.1
TXN004636,CUST00578,STR025,2022-12-07,Mastercard,111.22,In-Store,0,2.51
TXN005782,CUST00725,STR028,2023-02-26,Visa,387.29,In-Store,0,0.0
TXN002103,CUST00259,STR013,2023-03-05,Mastercard,298.58,In-Store,0,11.39
TXN001108,CUST00132,STR013,2024-11-11,Visa,149.25,In-Store,0,0.0
TXN003564,CUST00436,STR020,2022-08-04,Mastercard,358.34,In-Store,0,13.75
TXN005060,CUST00632,STR017,2022-04-16,Visa,352.48,Mobile App,0,0.0
TXN000373,CUST00037,STR012,2023-05-12,Visa,175.28,In-Store,0,0.0
TXN002744,CUST00334,STR010,2023-01-28,Mastercard,90.91,In-Store,0,3.29
TXN005228,CUST00655,STR029,2024-05-19,Mastercard,414.00,In-Store,0,13.98
TXN004006,CUST00494,STR009,2022-08-05,Cash,125.28,In-Store,0,0.0
TXN006735,CUST00851,STR028,2023-04-21,Mastercard,561.13,Mobile App,0,12.84
TXN000037,CUST00005,STR005,2024-07-03,Mastercard,572.96,In-Store,1,19.55
TXN002821,CUST00343,STR025,2024-04-13,Mastercard,128.69,In-Store,0,4.83
TXN001231,CUST00148,STR025,2024-11-23,Mastercard,563.37,In-Store,0,9.71
TXN000055,CUST00006,STR018,2024-02-27,Mastercard,154.17,Mobile App,0,3.63
TXN002885,CUST00347,STR028,2022-12-04,Mastercard,70.34,In-Store,0,1.28
TXN006354,CUST00802,STR011,2023-11-17,Visa,38.70,Mobile App,0,0.0
TXN005480,CUST00684,STR024,2023-04-21,Mastercard,578.09,Online,0,13.2
TXN002428,CUST00292,STR006,2024-12-17,Mastercard,601.13,In-Store,0,7.35
TXN005209,CUST00652,STR015,2024-04-22,Mastercard,549.62 CAD,Mobile App,0,9.64
TXN000439,CUST00045,STR027,2023-02-03,Mastercard,,In-Store,0,4.07
TXN004320,CUST00536,STR014,2022-01-21,Visa,68.88,In-Store,0,0.0
TXN005073,CUST00635,STR021,2024-11-22,Mastercard,321.46,In-Store,0,3.56
TXN005083,CUST00636,STR001,2023-04-16,Mastercard,562.19,In-Store,0,9.09
TXN004855,CUST00607,STR027,2024-11-28,Mastercard,554.80,In-Store,1,15.05
TXN001516,CUST00183,STR009,2023-12-17,Mastercard,218.18,In-Store,0,4.19
TXN007601,CUST00966,STR017,2024-09-30,Debit,43.83,Online,0,0.0
TXN003411,CUST00415,STR015,2023-05-26,Visa,114.50,Online,0,0.0
TXN003033,CUST00366,STR003,2024-12-04,Mastercard,513.22,Online,0,19.33
TXN001017,CUST00120,STR002,2022-03-05,Mastercard,542.32,In-Store,0,17.49
TXN002013,CUST00249,STR020,2024-09-05,Mastercard,442.65,Online,0,7.2
TXN000862,CUST00102,STR002,2022-08-29,Mastercard,223.12,In-Store,0,7.82
TXN003444,CUST00421,STR024,2024-02-08,Mastercard,166.92,In-Store,0,5.23
