item_id,transaction_id,product_id,quantity,unit_price,discount_pct,line_total
ITM0000001,TXN000001,PRD013,1,154.12,0.0,154.12
ITM0000002,TXN000001,PRD018,1,163.99,0.0,163.99
ITM0000003,TXN000002,PRD012,1,69.87,0.0,69.87
ITM0000004,TXN000003,PRD007,1,328.21,0.0,328.21
ITM0000005,TXN000004,PRD011,1,41.01,0.0,41.01
ITM0000006,TXN000005,PRD014,1,82.02,0.0,82.02
ITM0000007,TXN000006,PRD019,1,490.46,0.22,382.56
ITM0000008,TXN000007,PRD014,1,78.53,0.21,62.04
ITM0000009,TXN000008,PRD009,2,53.26,0.0,106.52
ITM0000010,TXN000009,PRD018,1,143.55,0.0,143.55
ITM0000011,TXN000010,PRD004,1,33.69,0.0,33.69
ITM0000012,TXN000011,PRD015,1,242.76,0.0,242.76
ITM0000013,TXN000012,PRD016,1,158.02,0.0,158.02
ITM0000014,TXN000013,PRD016,1,163.16,0.0,163.16
ITM0000015,TXN000014,PRD015,2,242.18,0.0,484.36
ITM0000016,TXN000015,PRD005,1,516.62,0.0,516.62
ITM0000017,TXN000016,PRD017,1,227.64,0.16,191.22
ITM0000018,TXN000017,PRD016,1,175.13,0.0,175.13
ITM0000019,TXN000018,PRD007,2,330.99,0.0,661.98
ITM0000020,TXN000019,PRD020,1,23.93,0.0,23.93
ITM0000021,TXN000020,PRD020,1,23.43,0.0,23.43
ITM0000022,TXN000021,PRD008,2,443.89,0.0,887.78
ITM0000023,TXN000022,PRD005,1,559.87,0.0,559.87
ITM0000024,TXN000022,PRD014,2,89.1,0.0,178.2
ITM0000025,TXN000023,PRD020,1,21.87,0.0,21.87
ITM0000026,TXN000024,PRD009,1,47.75,0.2,38.2
ITM0000027,TXN000025,PRD011,2,42.38,0.0,84.76
ITM0000028,TXN000026,PRD017,1,251.26,0.0,251.26
ITM0000029,TXN000027,PRD012,1,64.86,0.0,64.86
ITM0000030,TXN000028,PRD012,3,67.18,0.0,201.54
ITM0000031,TXN000029,PRD011,1,45.51,0.0,45.51
ITM0000032,TXN000030,PRD010,3,278.81,0.0,836.43
ITM0000033,TXN000031,PRD016,1,184.19,0.0,184.19
ITM0000034,TXN000031,PRD016,1,194.89,0.0,194.89
ITM0000035,TXN000031,PRD014,1,94.05,0.0,94.05
ITM0000036,TXN000032,PRD009,2,48.09,0.0,96.18
ITM0000037,TXN000032,PRD004,1,33.57,0.0,33.57
ITM0000038,TXN000033,PRD005,2,659.16,0.0,1318.32
ITM0000039,TXN000034,PRD008,1,467.06,0.0,467.06
ITM0000040,TXN000035,PRD017,1,236.56,0.0,236.56
ITM0000041,TXN000036,PRD016,2,195.28,0.23,300.73
ITM0000042,TXN000037,PRD014,2,85.09,0.14,146.35
ITM0000043,TXN000038,PRD001,1,132.93,0.0,132.93
ITM0000044,TXN000039,PRD020,1,21.55,0.0,21.55
ITM0000045,TXN000040,PRD009,1,47.81,0.0,47.81
ITM0000046,TXN000041,PRD010,2,259.57,0.0,519.14
ITM0000047,TXN000042,PRD002,1,52.91,0.14,45.5
ITM0000048,TXN000043,PRD010,1,262.64,0.0,262.64
ITM0000049,TXN000044,PRD001,1,127.98,0.0,127.98
ITM0000050,TXN000045,PRD002,1,57.97,0.0,57.97
