survey_id,customer_id,survey_date,survey_type,nps_score,satisfaction_score,ease_of_use,would_recommend,payment_method_used
SRV000001,CUST00694,2023-05-25,NPS,8.0,4,5,Yes,Mastercard
SRV000002,CUST00707,2023-04-17,NPS,8.0,4,2,No,Mastercard
SRV000003,CUST00744,2024-08-11,Post-Purchase,,5,1,Yes,Mastercard
SRV000004,CUST00898,2024-08-19,NPS,9.0,3,4,Yes,Gift Card
SRV000005,CUST00126,2022-06-25,Post-Purchase,,4,1,Yes,Mastercard
SRV000006,CUST00523,2024-12-08,NPS,10.0,5,4,Maybe,Visa
SRV000007,CUST00852,2023-06-04,NPS,2.0,4,5,Yes,Gift Card
SRV000008,CUST00568,2024-11-13,NPS,4.0,2,2,Yes,Debit
SRV000009,CUST00213,2024-03-02,NPS,7.0,4,2,No,Debit
SRV000010,CUST00453,2024-06-01,Post-Purchase,,3,4,No,Mastercard
SRV000011,CUST00169,2024-08-19,Post-Purchase,,4,3,No,Debit
SRV000012,CUST00078,2022-01-18,NPS,8.0,5,3,No,Visa
SRV000013,CUST00160,2024-04-13,NPS,3.0,1,3,Maybe,Mastercard
SRV000014,CUST00663,2023-01-29,Post-Purchase,,4,4,Yes,Mastercard
SRV000015,CUST00412,2022-04-23,Post-Purchase,,4,5,Yes,Debit
SRV000016,CUST00677,2022-01-13,Post-Purchase,,5,5,Yes,Debit
SRV000017,CUST00041,2024-12-20,NPS,7.0,5,4,Yes,Mastercard
SRV000018,CUST00923,2023-11-30,Post-Purchase,,4,5,Yes,Mastercard
SRV000019,CUST00938,2024-08-13,NPS,10.0,4,5,Maybe,Debit
SRV000020,CUST00151,2023-04-23,Annual,,5,2,Yes,Mastercard
SRV000021,CUST00424,2024-07-09,Post-Purchase,,3,2,Maybe,Mastercard
SRV000022,CUST00402,2024-06-24,Post-Purchase,,5,1,Maybe,Visa
SRV000023,CUST00083,2022-08-15,NPS,9.0,5,4,No,Mastercard
SRV000024,CUST00720,2024-07-31,Post-Purchase,,4,3,Yes,Cash
SRV000025,CUST00245,2022-06-24,Post-Purchase,,4,4,Yes,Mastercard
SRV000026,CUST00693,2023-12-08,Post-Purchase,,5,4,Yes,Gift Card
SRV000027,CUST00607,2022-06-07,Post-Purchase,,4,2,Maybe,Mastercard
SRV000028,CUST00720,2023-09-20,NPS,6.0,3,3,Yes,Cash
SRV000029,CUST00849,2022-08-18,NPS,7.0,4,5,Yes,Mastercard
SRV000030,CUST00134,2024-03-25,Post-Purchase,,5,4,Maybe,Mastercard
SRV000031,CUST00604,2022-05-16,Post-Purchase,,5,2,Yes,Mastercard
SRV000032,CUST00269,2022-09-09,NPS,6.0,4,5,Maybe,Visa
SRV000033,CUST00728,2024-04-29,Post-Purchase,,4,1,Maybe,Mastercard
SRV000034,CUST00549,2023-12-30,NPS,2.0,5,4,Yes,Cash
SRV000035,CUST00207,2023-11-14,Post-Purchase,,5,5,Yes,Debit
SRV000036,CUST00771,2024-09-20,Post-Purchase,,5,2,Maybe,Visa
SRV000037,CUST00501,2024-11-24,Post-Purchase,,5,2,Yes,Mastercard
SRV000038,CUST00044,2022-08-14,Post-Purchase,,3,1,Yes,Visa
SRV000039,CUST00391,2024-05-22,Post-Purchase,,5,1,No,Debit
SRV000040,CUST00277,2022-09-09,Post-Purchase,,2,3,Maybe,Mastercard
SRV000041,CUST00772,2024-02-05,Post-Purchase,,4,4,No,Mastercard
SRV000042,CUST00506,2022-06-22,Post-Purchase,,3,4,Maybe,Cash
