engagement_id,customer_id,engagement_date,engagement_type,points_value,channel,session_duration_sec,conversion_flag
ENG000001,CUST00280,2022-08-20,Promo Click,0,Online,1657,1
ENG000002,CUST00528,2024-05-17,Points Redeem,114,In-Store,0,0
ENG000003,CUST00321,2023-05-03,Promo Click,0,In-Store,111,0
ENG000004,CUST00450,2023-09-04,App Login,0,Online,1415,0
ENG000005,CUST00616,2024-08-22,Points Earn,136,In-Store,0,0
ENG000006,CUST00428,2023-07-05,Points Redeem,192,In-Store,0,0
ENG000007,CUST00367,2024-09-24,Points Redeem,495,Mobile App,0,0
ENG000008,CUST00261,2023-03-27,Points Redeem,660,In-Store,0,0
ENG000009,CUST00834,2023-06-29,Promo Click,0,Online,1743,0
ENG000010,CUST00894,2023-09-24,Points Earn,365,In-Store,0,0
ENG000011,CUST00229,2024-05-12,Points Earn,246,Online,0,0
ENG000012,CUST00008,2022-02-04,App Login,0,Online,715,0
ENG000013,CUST00280,2022-12-12,Points Earn,91,In-Store,0,0
ENG000014,CUST00607,2024-01-17,Points Earn,429,Online,0,0
ENG000015,CUST00077,2023-10-02,Points Earn,135,In-Store,0,0
ENG000016,CUST00893,2024-05-12,App Login,0,In-Store,470,0
ENG000017,CUST00666,2022-01-25,Points Earn,390,Online,0,0
ENG000018,CUST00002,2023-04-03,Points Earn,121,Online,0,0
ENG000019,CUST00405,2023-10-26,Points Redeem,150,In-Store,0,0
ENG000020,CUST00288,2024-03-25,Points Earn,380,Online,0,0
ENG000021,CUST00717,2022-07-28,Promo Click,0,In-Store,1396,0
ENG000022,CUST00339,2022-10-04,Points Redeem,121,In-Store,0,0
ENG000023,CUST00872,2024-11-17,Points Redeem,166,Online,0,0
ENG000024,CUST00646,2024-02-28,Points Earn,469,In-Store,0,0
ENG000025,CUST00303,2024-04-02,App Login,0,Online,1317,0
ENG000026,CUST00920,2024-10-31,Referral,0,In-Store,0,0
ENG000027,CUST00205,2023-08-13,Points Redeem,543,Online,0,0
ENG000028,CUST00293,2024-04-11,Points Earn,17,In-Store,0,0
ENG000029,CUST00221,2022-10-25,Points Earn,113,Online,0,0
ENG000030,CUST00139,2024-09-14,Promo Click,0,In-Store,1286,0
ENG000031,CUST00140,2023-01-13,Points Earn,107,In-Store,0,0
ENG000032,CUST00932,2023-08-08,Promo Click,0,In-Store,1515,0
ENG000033,CUST00564,2022-05-13,Referral,0,In-Store,0,0
ENG000034,CUST00834,2023-11-29,App Login,0,In-Store,927,0
ENG000035,CUST00330,2023-10-29,Points Earn,137,Online,0,0
ENG000036,CUST00007,2022-03-18,Points Earn,238,In-Store,0,0
ENG000037,CUST00270,2024-02-01,Promo Click,0,In-Store,96,0
ENG000038,CUST00232,2022-11-04,Points Earn,565,Mobile App,0,0
ENG000039,CUST00354,2024-07-17,Points Earn,38,In-Store,0,0
ENG000040,CUST00845,2022-03-25,Promo Click,0,Online,635,1
ENG000041,CUST00293,2024-08-02,Promo Click,0,Online,1591,0
ENG000042,CUST00440,2023-03-05,Points Redeem,364,Online,0,0
ENG000043,CUST00898,2022-12-16,Points Earn,43,In-Store,0,0
ENG000044,CUST00006,2023-03-07,Promo Click,0,Mobile App,753,0
ENG000045,CUST00527,2024-01-16,Points Redeem,144,In-Store,0,0
ENG000046,CUST00286,2024-06-27,Points Earn,189,In-Store,0,0
ENG000047,CUST00305,2022-01-22,App Login,0,In-Store,63,0
ENG000048,CUST00178,2023-04-14,Points Earn,769,In-Store,0,0
ENG000049,CUST00441,2023-11-09,App Login,0,In-Store,219,0
ENG000050,CUST00313,2024-09-05,Points Redeem,587,In-Store,0,0
ENG000051,CUST00839,2024-09-02,Points Earn,195,Online,0,0
ENG000052,CUST00346,2024-12-31,Promo Click,0,In-Store,738,0
ENG000053,CUST00785,2022-04-16,Points Redeem,181,In-Store,0,0
ENG000054,CUST00586,2024-03-14,Promo Click,0,In-Store,906,1
ENG000055,CUST00107,2024-10-04,Referral,0,Online,0,0
ENG000056,CUST00895,2022-02-07,Points Earn,797,Online,0,0
ENG000057,CUST00962,2022-01-25,App Login,0,In-Store,653,0
ENG000058,CUST00517,2022-01-30,Points Redeem,160,Mobile App,0,0
ENG000059,CUST00593,2024-06-16,Points Earn,156,Mobile App,0,0
ENG000060,CUST00624,2022-03-05,Points Earn,646,Online,0,0
ENG000061,CUST00322,2024-07-17,App Login,0,In-Store,1756,0
ENG000062,CUST00968,2024-06-13,Points Earn,160,In-Store,0,0
ENG000063,CUST00269,2022-07-22,Points Earn,143,In-Store,0,0
ENG000064,CUST00982,2022-09-02,App Login,0,Mobile App,1281,0
ENG000065,CUST00440,2023-06-26,Points Earn,686,In-Store,0,0
ENG000066,CUST00299,2023-01-23,App Login,0,Mobile App,329,0
ENG000067,CUST00947,2022-05-16,App Login,0,In-Store,724,0
ENG000068,CUST00965,2023-09-17,Promo Click,0,In-Store,537,0
ENG000069,CUST00331,2024-08-14,Points Earn,13,In-Store,0,0
ENG000070,CUST00988,2024-04-14,Points Earn,53,In-Store,0,0
ENG000071,CUST00242,2022-12-30,Referral,0,Online,0,0
ENG000072,CUST00942,2023-09-19,Promo Click,0,Online,459,1
ENG000073,CUST00932,2023-04-10,Promo Click,0,Online,37,0
ENG000074,CUST00687,2022-11-11,Referral,0,Mobile App,0,0
ENG000075,CUST00843,2024-04-03,Points Earn,144,In-Store,0,0
ENG000076,CUST00988,2024-04-24,Points Earn,315,In-Store,0,0
ENG000077,CUST00827,2023-02-24,Points Redeem,192,Online,0,0
ENG000078,CUST00827,2023-09-01,App Login,0,In-Store,1462,0
ENG000079,CUST00177,2023-09-19,Points Redeem,132,Online,0,0
ENG000080,CUST00367,2024-08-02,Points Earn,574,In-Store,0,0
ENG000081,CUST00071,2022-11-21,Promo Click,0,In-Store,1340,0
ENG000082,CUST00436,2024-01-20,Points Earn,727,Online,0,0
ENG000083,CUST00401,2022-10-14,Points Redeem,153,Online,0,0
ENG000084,CUST00698,2023-09-08,App Login,0,In-Store,404,0
ENG000085,CUST00701,2022-11-28,Points Earn,125,Online,0,0
ENG000086,CUST00036,2024-12-25,Points Redeem,514,Mobile App,0,0
ENG000087,CUST00486,2024-05-24,Promo Click,0,Mobile App,145,0
ENG000088,CUST00818,2023-04-03,Promo Click,0,Online,95,0
ENG000089,CUST00261,2022-08-11,Points Earn,378,Online,0,0
ENG000090,CUST00222,2024-12-02,Points Earn,556,Online,0,0
ENG000091,CUST00880,2022-08-26,Promo Click,0,Online,509,0
ENG000092,CUST00727,2023-02-16,App Login,0,In-Store,854,0
ENG000093,CUST00130,2023-05-17,Points Earn,181,In-Store,0,0
ENG000094,CUST00325,2024-11-05,Points Redeem,165,Online,0,0
ENG000095,CUST00574,2024-12-12,Points Redeem,325,In-Store,0,0
ENG000096,CUST00707,2022-06-14,Points Earn,211,In-Store,0,0
ENG000097,CUST00677,2024-10-07,Points Earn,71,Mobile App,0,0
ENG000098,CUST00755,2024-12-21,Promo Click,0,In-Store,212,0
ENG000099,CUST00185,2024-04-05,Points Earn,13,In-Store,0,0
ENG000100,CUST00276,2024-02-17,Points Earn,441,Online,0,0
ENG000101,CUST00996,2024-02-04,Referral,0,In-Store,0,0
ENG000102,CUST00913,2024-05-01,Promo Click,0,Mobile App,1689,0
ENG000103,CUST00659,2024-07-27,Points Earn,158,Online,0,0
ENG000104,CUST00389,2024-08-09,Points Redeem,55,Mobile App,0,0
ENG000105,CUST00914,2023-11-24,Promo Click,0,In-Store,193,0
ENG000106,CUST00259,2024-07-17,Promo Click,0,In-Store,1452,0
ENG000107,CUST00890,2024-12-06,Points Earn,672,In-Store,0,0
ENG000108,CUST00281,2024-11-17,Promo Click,0,In-Store,336,0
ENG000109,CUST00698,2023-08-04,Points Earn,136,In-Store,0,0
ENG000110,CUST00034,2022-12-18,Promo Click,0,In-Store,1585,0
ENG000111,CUST00831,2024-09-15,Promo Click,0,Online,1494,1
ENG000112,CUST00625,2023-02-08,Promo Click,0,Mobile App,739,1
ENG000113,CUST00286,2023-04-26,Points Redeem,24,In-Store,0,0
ENG000114,CUST00604,2023-08-20,Points Redeem,134,Online,0,0
ENG000115,CUST00529,2022-04-27,Promo Click,0,Online,1018,1
ENG000116,CUST00068,2023-07-05,Points Earn,449,Online,0,0
ENG000117,CUST00294,2022-04-08,Referral,0,Online,0,0
ENG000118,CUST00764,2022-09-21,Promo Click,0,In-Store,789,0
ENG000119,CUST00790,2023-09-14,Promo Click,0,Online,1478,1
ENG000120,CUST00453,2023-08-09,Points Earn,188,In-Store,0,0
ENG000121,CUST00679,2022-04-08,Points Earn,30,In-Store,0,0
ENG000122,CUST00729,2024-03-05,Promo Click,0,In-Store,436,1
ENG000123,CUST00811,2024-01-30,Points Earn,338,Mobile App,0,0
ENG000124,CUST00450,2022-04-08,Points Redeem,741,In-Store,0,0
ENG000125,CUST00497,2023-01-05,Referral,0,Online,0,0
ENG000126,CUST00982,2024-06-04,Promo Click,0,Mobile App,688,1
ENG000127,CUST00517,2023-02-03,Promo Click,0,In-Store,1298,1
ENG000128,CUST00111,2023-02-13,Points Earn,680,Online,0,0
ENG000129,CUST00294,2023-04-24,Points Redeem,637,Online,0,0
ENG000130,CUST00113,2024-01-14,App Login,0,Online,1483,0
ENG000131,CUST00151,2024-12-22,App Login,0,Mobile App,1651,0
ENG000132,CUST00674,2024-12-26,App Login,0,In-Store,585,0
ENG000133,CUST00870,2022-08-12,Points Earn,739,Online,0,0
ENG000134,CUST00043,2022-06-02,Promo Click,0,Online,312,1
ENG000135,CUST00114,2024-12-26,Points Redeem,288,Online,0,0
ENG000136,CUST00064,2023-02-04,Points Earn,50,Mobile App,0,0
ENG000137,CUST00480,2022-12-06,Points Earn,794,Online,0,0
ENG000138,CUST00576,2023-01-26,Promo Click,0,Online,349,1
ENG000139,CUST00305,2024-12-16,Promo Click,0,Online,1148,0
ENG000140,CUST00408,2023-05-22,App Login,0,In-Store,1690,0
ENG000141,CUST00308,2022-02-09,Points Earn,315,In-Store,0,0
ENG000142,CUST00124,2023-07-08,Promo Click,0,Online,1604,0
ENG000143,CUST00382,2023-10-24,Points Earn,151,Mobile App,0,0
ENG000144,CUST00799,2024-08-31,Points Redeem,281,In-Store,0,0
ENG000145,CUST00981,2024-04-18,Points Redeem,580,Mobile App,0,0
ENG000146,CUST00035,2023-12-06,Points Earn,534,In-Store,0,0
ENG000147,CUST00230,2022-05-06,Points Earn,468,Mobile App,0,0
ENG000148,CUST00842,2022-10-12,Promo Click,0,Online,906,0
ENG000149,CUST00837,2024-05-08,Promo Click,0,In-Store,1262,0
ENG000150,CUST00057,2023-10-16,Promo Click,0,In-Store,988,1
ENG000151,CUST00153,2023-08-08,Promo Click,0,Online,1345,0
ENG000152,CUST00039,2023-01-12,Referral,0,Online,0,0
ENG000153,CUST00923,2022-08-26,Promo Click,0,In-Store,1581,0
ENG000154,CUST00030,2024-12-03,Points Redeem,385,Mobile App,0,0
ENG000155,CUST00403,2023-03-15,App Login,0,Online,981,0
ENG000156,CUST00255,2022-11-08,Points Earn,690,Online,0,0
ENG000157,CUST00002,2024-11-07,Points Earn,511,Online,0,0
ENG000158,CUST00834,2023-02-03,App Login,0,In-Store,1470,0
ENG000159,CUST00617,2022-04-10,Points Earn,562,Mobile App,0,0
ENG000160,CUST00272,2024-05-11,App Login,0,In-Store,740,0
ENG000161,CUST00225,2024-11-24,Points Earn,159,In-Store,0,0
