transaction_id,customer_id,store_id,transaction_date,amount,channel,return_flag,cashback_earned,item_id
TXN000001,CUST00001,STR010,2024-01-19,109.34,In-Store,0,3.51,ITM0000001
TXN000001,CUST00001,STR010,2024-01-19,109.34,In-Store,0,3.51,ITM0000002
TXN000002,CUST00001,STR017,2024-12-06,162.89,In-Store,0,5.73,ITM0000003
TXN000003,CUST00001,STR013,2023-10-18,357.2,Online,0,6.53,ITM0000004
TXN000004,CUST00001,STR029,2024-12-04,142.67,In-Store,0,2.97,ITM0000005
TXN000005,CUST00001,STR006,2024-02-11,501.61,In-Store,0,9.42,ITM0000006
TXN000006,CUST00001,STR013,2023-12-02,466.87,In-Store,0,7.66,ITM0000007
TXN000007,CUST00001,STR017,2022-06-27,638.85,Mobile App,0,8.12,ITM0000008
TXN000008,CUST00001,STR027,2022-12-14,542.23,In-Store,0,15.55,ITM0000009
TXN000009,CUST00001,STR008,2022-02-17,605.99,In-Store,0,10.06,ITM0000010
TXN000010,CUST00001,STR001,2024-12-22,616.96,Mobile App,0,10.39,ITM0000011
TXN000011,CUST00001,STR028,2023-12-10,542.59,Online,0,15.81,ITM0000012
TXN000012,CUST00001,STR026,2022-04-24,376.84,In-Store,0,7.42,ITM0000013
TXN000013,CUST00001,STR011,2023-12-16,342.8,In-Store,0,13.6,ITM0000014
TXN000014,CUST00001,STR015,2022-03-23,496.86,In-Store,0,5.93,ITM0000015
TXN000015,CUST00002,STR017,2022-04-29,224.52,Mobile App,0,6.47,ITM0000016
TXN000016,CUST00002,STR017,2022-12-10,375.46,In-Store,0,8.38,ITM0000017
TXN000017,CUST00002,STR013,2022-11-21,458,In-Store,0,10.06,ITM0000018
TXN000018,CUST00002,STR011,2024-11-21,425.54,Online,0,14.56,ITM0000019
TXN000019,CUST00002,STR013,2024-12-24,359.03,Online,0,4.65,ITM0000020
TXN000020,CUST00002,STR027,2022-10-02,,In-Store,0,1.22,ITM0000021
TXN000021,CUST00002,STR019,2022-03-17,68.72,In-Store,0,0.99,ITM0000022
TXN000022,CUST00002,STR008,2022-10-22,,In-Store,0,10.39,ITM0000023
TXN000022,CUST00002,STR008,2022-10-22,,In-Store,0,10.39,ITM0000024
TXN000023,CUST00002,STR015,2024-06-13,410.56,Mobile App,0,8,ITM0000025
TXN000024,CUST00002,STR020,2024-05-11,320.75,In-Store,0,10.23,ITM0000026
TXN000025,CUST00002,STR012,2023-04-07,156.52,Online,0,3.85,ITM0000027
TXN000026,CUST00002,STR027,2023-04-29,507.22,Online,0,8.39,ITM0000028
TXN000027,CUST00003,STR002,2023-11-06,152.6,Online,0,0,ITM0000029
